priority_rank,recovery_priority_score,recovery_class,recommended_recovery_track,canonical_game_key,game_name,developer,game_url,in_mini_catalog,missing_rank_rows,rank1_missing_rows,top5_missing_rows,top10_missing_rows,top20_missing_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,missing_rank_span_days,ranking_types_with_missing,categories_with_missing,sample_missing_dates,has_any_observed_play_count,first_observed_play_count_date,first_observed_play_count,first_observed_play_count_source,first_observed_after_first_missing_days,first_observed_after_last_missing_days,latest_observed_play_count_date,latest_observed_play_count,missing_rows_on_or_after_first_observation,catalog_first_seen_date,catalog_last_seen_date,catalog_best_rank,catalog_top_n_appearances,catalog_listing_play_count_rows,catalog_max_listing_play_count_observed,metrics_status,metrics_rows,first_metric_date,last_metric_date,no_history_evidence_bucket,page_gap_status,count_source_probe_status,alternate_endpoint_cdx_rows,endpoint_observations,candidates_with_cdx_rows,recovered_count_rows,current_live_metric_status,observed_categories,platform_flags,classification_confidence
1894,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/funnypeppygames/daisy-girl-dress-up,Daisy Girl Dress Up,funnypeppygames,http://www.kongregate.com/games/funnypeppygames/daisy-girl-dress-up,yes,1,0,0,0,1,17,2014-11-11,2014-11-11,0,newest (1),,2014-11-11,yes,2026-06-30,257,live_metrics_json,4249,4249,2026-06-30,257,0,2014-11-11,2014-11-11,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1895,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/souleris/bubblenator,Bubblenator,Souleris,http://www.kongregate.com/games/Souleris/bubblenator,yes,1,0,0,0,1,17,2014-11-25,2014-11-25,0,newest (1),,2014-11-25,yes,2026-06-30,673,live_metrics_json,4235,4235,2026-06-30,673,0,2014-11-25,2014-11-25,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1896,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/victorian-house-escape,Victorian House Escape,Enagamess,http://www.kongregate.com/games/Enagamess/victorian-house-escape,yes,1,0,0,0,1,17,2014-12-02,2014-12-02,0,newest (1),,2014-12-02,yes,2026-06-30,661,live_metrics_json,4228,4228,2026-06-30,661,0,2014-12-02,2014-12-02,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1897,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/markieer12/my-life-idle,My Life IDLE,markieer12,http://www.kongregate.com/games/markieer12/my-life-idle,yes,1,0,0,0,1,17,2014-12-10,2014-12-10,0,newest (1),,2014-12-10,yes,2026-06-30,1599,live_metrics_json,4220,4220,2026-06-30,1599,0,2014-12-10,2014-12-10,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1898,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mulitasoft/color-zones,Color Zones,MulitaSoft,http://www.kongregate.com/games/MulitaSoft/color-zones,yes,1,0,0,0,1,17,2014-12-17,2014-12-17,0,newest (1),,2014-12-17,yes,2026-06-30,1324,live_metrics_json,4213,4213,2026-06-30,1324,0,2014-12-17,2014-12-17,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1899,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/montelucci/bik,Bik,montelucci,http://www.kongregate.com/games/montelucci/bik,yes,1,0,0,0,1,17,2014-12-28,2014-12-28,0,newest (1),,2014-12-28,yes,2026-06-30,301,live_metrics_json,4202,4202,2026-06-30,301,0,2014-12-28,2014-12-28,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1900,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/cranberrygame/pick-up-sticks,Pick Up Sticks,cranberrygame,http://www.kongregate.com/games/cranberrygame/pick-up-sticks,yes,1,0,0,0,1,17,2014-12-30,2014-12-30,0,newest (1),,2014-12-30,yes,2026-06-30,2532,live_metrics_json,4200,4200,2026-06-30,2532,0,2014-12-30,2014-12-30,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1901,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gamendekiwi/pre-alpha-pixel-the-heist,PRE ALPHA PIXEL THE HEIST,gamendekiwi,http://www.kongregate.com/games/gamendekiwi/pre-alpha-pixel-the-heist,yes,1,0,0,0,1,17,2015-04-01,2015-04-01,0,newest (1),,2015-04-01,yes,2026-06-30,277,live_metrics_json,4108,4108,2026-06-30,277,0,2015-04-01,2015-04-01,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1902,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gg123/shop-class-slacking,Shop Class Slacking,gg123,http://www.kongregate.com/games/gg123/shop-class-slacking,yes,1,0,0,0,1,17,2015-09-09,2015-09-09,0,newest (1),,2015-09-09,yes,2026-06-30,318,live_metrics_json,3947,3947,2026-06-30,318,0,2015-09-09,2015-09-09,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1903,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/paulhtml5/pacman-dash,Pacman Dash,PaulHTML5,http://www.kongregate.com/games/PaulHTML5/pacman-dash,yes,1,0,0,0,1,17,2015-09-14,2015-09-14,0,newest (1),,2015-09-14,yes,2026-06-30,326,live_metrics_json,3942,3942,2026-06-30,326,0,2015-09-14,2015-09-14,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1904,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/modern-home-escape,Modern Home Escape,Enagamess,http://www.kongregate.com/games/Enagamess/modern-home-escape,yes,1,0,0,0,1,17,2015-09-15,2015-09-15,0,newest (1),,2015-09-15,yes,2026-06-30,149,live_metrics_json,3941,3941,2026-06-30,149,0,2015-09-15,2015-09-15,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1905,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gamolition/tractor-mania-3d-parking,Tractor Mania 3D Parking,gamolition,http://www.kongregate.com/games/gamolition/tractor-mania-3d-parking,yes,1,0,0,0,1,17,2015-09-23,2015-09-23,0,newest (1),,2015-09-23,yes,2026-06-30,531,live_metrics_json,3933,3933,2026-06-30,531,0,2015-09-23,2015-09-23,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1906,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/meplayitonline/fr-find-differences-1,FR Find Differences #1,MePlayItOnline,http://www.kongregate.com/games/MePlayItOnline/fr-find-differences-1,yes,1,0,0,0,1,17,2015-09-30,2015-09-30,0,newest (1),,2015-09-30,yes,2026-06-30,1001,live_metrics_json,3926,3926,2026-06-30,1001,0,2015-09-30,2015-09-30,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1907,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/unique-house-escape-2,Unique House Escape 2,Enagamess,http://www.kongregate.com/games/Enagamess/unique-house-escape-2,yes,1,0,0,0,1,17,2015-12-05,2015-12-05,0,newest (1),,2015-12-05,yes,2026-06-30,297,live_metrics_json,3860,3860,2026-06-30,297,0,2015-12-05,2015-12-05,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1908,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/koemmels/weltenstaub-1,Weltenstaub 1,Koemmels,http://www.kongregate.com/games/Koemmels/weltenstaub-1,yes,1,0,0,0,1,17,2015-12-18,2015-12-18,0,newest (1),,2015-12-18,yes,2026-06-30,109,live_metrics_json,3847,3847,2026-06-30,109,0,2015-12-18,2015-12-18,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1909,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/madsdestruction/dodge-durst-or-die,Dodge Durst or Die,Madsdestruction,http://www.kongregate.com/games/Madsdestruction/dodge-durst-or-die,yes,1,0,0,0,1,17,2015-12-26,2015-12-26,0,newest (1),,2015-12-26,yes,2026-06-30,95,live_metrics_json,3839,3839,2026-06-30,95,0,2015-12-26,2015-12-26,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1910,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/cadgames/the-terrible-old-man,The Terrible Old Man,cadgames,http://www.kongregate.com/games/cadgames/the-terrible-old-man,yes,1,0,0,0,1,17,2016-01-02,2016-01-02,0,newest (1),,2016-01-02,yes,2026-06-30,1021,live_metrics_json,3832,3832,2026-06-30,1021,0,2016-01-02,2016-01-02,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1911,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/zooxii/ultimate-treasure-dive,Ultimate Treasure Dive,zooxii,http://www.kongregate.com/games/zooxii/ultimate-treasure-dive,yes,1,0,0,0,1,17,2016-01-16,2016-01-16,0,newest (1),,2016-01-16,yes,2026-06-30,74,live_metrics_json,3818,3818,2026-06-30,74,0,2016-01-16,2016-01-16,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1912,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/iam_gamerps5/school,sCHOOL,Iam_GamerPS5,http://www.kongregate.com/games/Iam_GamerPS5/school,yes,1,0,0,0,1,17,2016-01-25,2016-01-25,0,newest (1),,2016-01-25,yes,2024-01-16,61,metrics_json,2913,2913,2026-06-30,89,0,2016-01-25,2016-01-25,17,1,0,,has_metrics,2,2024-01-16,2026-06-30,,,,,,,,,,,
1913,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mynameisxboard/school-project-3d-forrest,school project 3d forrest,mynameisxboard,http://www.kongregate.com/games/mynameisxboard/school-project-3d-forrest,yes,1,0,0,0,1,17,2016-02-02,2016-02-02,0,newest (1),,2016-02-02,yes,2025-02-03,312,metrics_json,3289,3289,2026-06-30,414,0,2016-02-02,2016-02-02,17,1,0,,has_metrics,2,2025-02-03,2026-06-30,,,,,,,,,,,
1914,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/rescue-my-soul-2,Rescue My Soul 2,Enagamess,http://www.kongregate.com/games/Enagamess/rescue-my-soul-2,yes,1,0,0,0,1,17,2016-02-17,2016-02-17,0,newest (1),,2016-02-17,yes,2026-06-30,324,live_metrics_json,3786,3786,2026-06-30,324,0,2016-02-17,2016-02-17,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1915,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/get-back-the-fairy,Get Back The Fairy,Enagamess,http://www.kongregate.com/games/Enagamess/get-back-the-fairy,yes,1,0,0,0,1,17,2016-02-28,2016-02-28,0,newest (1),,2016-02-28,yes,2026-06-30,401,live_metrics_json,3775,3775,2026-06-30,401,0,2016-02-28,2016-02-28,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1916,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vogd/avalancher,Avalancher,Vogd,http://www.kongregate.com/games/Vogd/avalancher,yes,1,0,0,0,1,17,2016-03-05,2016-03-05,0,newest (1),,2016-03-05,yes,2026-06-30,4202,live_metrics_json,3769,3769,2026-06-30,4202,0,2016-03-05,2016-03-05,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1917,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kizigames/spaceship-shooter,Spaceship Shooter,kizigames,http://www.kongregate.com/games/kizigames/spaceship-shooter,yes,1,0,0,0,1,17,2016-03-07,2016-03-07,0,newest (1),,2016-03-07,yes,2023-02-12,8659,metrics_json,2533,2533,2026-06-30,9393,0,2016-03-07,2016-03-07,17,1,0,,has_metrics,3,2023-02-12,2026-06-30,,,,,,,,,,,
1918,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/tackypoop111/vandalise-the-gas-station,Vandalise The Gas Station,tackypoop111,http://www.kongregate.com/games/tackypoop111/vandalise-the-gas-station,yes,1,0,0,0,1,17,2016-03-16,2016-03-16,0,newest (1),,2016-03-16,yes,2026-06-30,195,live_metrics_json,3758,3758,2026-06-30,195,0,2016-03-16,2016-03-16,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1919,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/worldhacker/gimbo-jump-3,Gimbo jump 3,worldhacker,http://www.kongregate.com/games/worldhacker/gimbo-jump-3,yes,1,0,0,0,1,17,2016-03-20,2016-03-20,0,newest (1),,2016-03-20,yes,2026-06-30,88,live_metrics_json,3754,3754,2026-06-30,88,0,2016-03-20,2016-03-20,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1920,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/newgamess/easter-truck-jigsaw,Easter Truck Jigsaw,newgamess,http://www.kongregate.com/games/newgamess/easter-truck-jigsaw,yes,1,0,0,0,1,17,2016-03-24,2016-03-24,0,newest (1),,2016-03-24,yes,2026-06-30,61,live_metrics_json,3750,3750,2026-06-30,61,0,2016-03-24,2016-03-24,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1921,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kyozcorp/sth-01,STH .01,KyozCorp,http://www.kongregate.com/games/KyozCorp/sth-01,yes,1,0,0,0,1,17,2016-05-06,2016-05-06,0,newest (1),,2016-05-06,yes,2026-06-30,147,live_metrics_json,3707,3707,2026-06-30,147,0,2016-05-06,2016-05-06,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1922,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/fancyork/megabeer,MegaBEER,fancyork,http://www.kongregate.com/games/fancyork/megabeer,yes,1,0,0,0,1,17,2016-05-15,2016-05-15,0,newest (1),,2016-05-15,yes,2026-06-30,100,live_metrics_json,3698,3698,2026-06-30,100,0,2016-05-15,2016-05-15,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1923,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kaploarploar/platt-10,Platt 10,KAPLOARPLOAR,http://www.kongregate.com/games/KAPLOARPLOAR/platt-10,yes,1,0,0,0,1,17,2016-05-23,2016-05-23,0,newest (1),,2016-05-23,yes,2026-06-30,181,live_metrics_json,3690,3690,2026-06-30,181,0,2016-05-23,2016-05-23,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1924,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/x2wifi/tig-with-xenomorph,Tig With Xenomorph,x2wifi,http://www.kongregate.com/games/x2wifi/tig-with-xenomorph,yes,1,0,0,0,1,17,2016-05-24,2016-05-24,0,newest (1),,2016-05-24,yes,2026-06-30,1266,live_metrics_json,3689,3689,2026-06-30,1266,0,2016-05-24,2016-05-24,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1925,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/thegrandestine/chess-evolved-online,Chess Evolved Online,TheGrandestine,https://www.kongregate.com/games/TheGrandestine/chess-evolved-online,yes,1,0,0,0,1,17,2016-06-01,2016-06-01,0,most_played (1),,2016-06-01,yes,2016-10-31,901837,metrics_json,152,152,2025-08-02,2849827,0,2016-06-01,2024-02-14,5,4,0,,has_metrics,7,2016-10-31,2025-08-02,,,,,,,,,,,
1926,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/aptriangle/tower-attraction,Tower Attraction,aptriangle,http://www.kongregate.com/games/aptriangle/tower-attraction,yes,1,0,0,0,1,17,2016-06-04,2016-06-04,0,newest (1),,2016-06-04,yes,2026-06-30,635,live_metrics_json,3678,3678,2026-06-30,635,0,2016-06-04,2016-06-04,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1927,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/edher19/el-orco-malvado,EL Orco Malvado,edher19,http://www.kongregate.com/games/edher19/el-orco-malvado,yes,1,0,0,0,1,17,2016-06-05,2016-06-05,0,newest (1),,2016-06-05,yes,2026-06-30,99,live_metrics_json,3677,3677,2026-06-30,99,0,2016-06-05,2016-06-05,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1928,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/rahchel321/who-can-escape-castle-prison,Who Can Escape Castle Prison,rahchel321,http://www.kongregate.com/games/rahchel321/who-can-escape-castle-prison,yes,1,0,0,0,1,17,2016-06-13,2016-06-13,0,newest (1),,2016-06-13,yes,2026-06-30,253,live_metrics_json,3669,3669,2026-06-30,253,0,2016-06-13,2016-06-13,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1929,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/daggerit/raiders-and-traders,Raiders and Traders,daggerit,http://www.kongregate.com/games/daggerit/raiders-and-traders,yes,1,0,0,0,1,17,2016-06-22,2016-06-22,0,newest (1),,2016-06-22,yes,2026-06-30,450,live_metrics_json,3660,3660,2026-06-30,450,0,2016-06-22,2016-06-22,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1930,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/newgamess/terminator-jigsaw,Terminator Jigsaw,newgamess,http://www.kongregate.com/games/newgamess/terminator-jigsaw,yes,1,0,0,0,1,17,2016-06-29,2016-06-29,0,newest (1),,2016-06-29,yes,2026-06-30,88,live_metrics_json,3653,3653,2026-06-30,88,0,2016-06-29,2016-06-29,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1931,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/sandrakim/daylight-robbery,Daylight Robbery,SandraKim,http://www.kongregate.com/games/SandraKim/daylight-robbery,yes,1,0,0,0,1,17,2016-07-14,2016-07-14,0,newest (1),,2016-07-14,yes,2026-06-30,390,live_metrics_json,3638,3638,2026-06-30,390,0,2016-07-14,2016-07-14,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1932,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/aymaniscool/sword-hummus,Sword HUMMUS,aymaniscool,http://www.kongregate.com/games/aymaniscool/sword-hummus,yes,1,0,0,0,1,17,2016-07-20,2016-07-20,0,newest (1),,2016-07-20,yes,2026-06-30,508,live_metrics_json,3632,3632,2026-06-30,508,0,2016-07-20,2016-07-20,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1933,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/ccamiloo/duelo,Duelo,ccamiloo,http://www.kongregate.com/games/ccamiloo/duelo,yes,1,0,0,0,1,17,2016-07-27,2016-07-27,0,newest (1),,2016-07-27,yes,2026-06-30,376,live_metrics_json,3625,3625,2026-06-30,376,0,2016-07-27,2016-07-27,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1934,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gamesforgirlz/elsa-restaurant-vegetarian-meatloaf,Elsa Restaurant Vegetarian Meatloaf,gamesforgirlz,http://www.kongregate.com/games/gamesforgirlz/elsa-restaurant-vegetarian-meatloaf,yes,1,0,0,0,1,17,2016-08-13,2016-08-13,0,newest (1),,2016-08-13,yes,2026-06-30,130,live_metrics_json,3608,3608,2026-06-30,130,0,2016-08-13,2016-08-13,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1935,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/bowwow200/retro-redux,Retro Redux,BowWow200,http://www.kongregate.com/games/BowWow200/retro-redux,yes,1,0,0,0,1,17,2016-08-20,2016-08-20,0,newest (1),,2016-08-20,yes,2026-06-30,762,live_metrics_json,3601,3601,2026-06-30,762,0,2016-08-20,2016-08-20,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1936,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gamesforgirlz/annas-kitchen-zucchini-soup,Annas Kitchen Zucchini Soup,gamesforgirlz,http://www.kongregate.com/games/gamesforgirlz/annas-kitchen-zucchini-soup,yes,1,0,0,0,1,17,2016-08-28,2016-08-28,0,newest (1),,2016-08-28,yes,2026-06-30,129,live_metrics_json,3593,3593,2026-06-30,129,0,2016-08-28,2016-08-28,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1937,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/sandrakim/cross-my-heart,Cross my Heart,SandraKim,http://www.kongregate.com/games/SandraKim/cross-my-heart,yes,1,0,0,0,1,17,2016-09-03,2016-09-03,0,newest (1),,2016-09-03,yes,2026-06-30,152,live_metrics_json,3587,3587,2026-06-30,152,0,2016-09-03,2016-09-03,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1938,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/newgamess/blue-falcon,Blue Falcon,newgamess,http://www.kongregate.com/games/newgamess/blue-falcon,yes,1,0,0,0,1,17,2016-09-16,2016-09-16,0,newest (1),,2016-09-16,yes,2026-06-30,63,live_metrics_json,3574,3574,2026-06-30,63,0,2016-09-16,2016-09-16,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1939,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/panzergraveyard/test2,Test2,PanzerGraveyard,http://www.kongregate.com/games/PanzerGraveyard/test2,yes,1,0,0,0,1,17,2016-09-17,2016-09-17,0,newest (1),,2016-09-17,yes,2023-09-14,47,metrics_json,2553,2553,2026-06-30,134,0,2016-09-17,2016-09-17,17,1,0,,has_metrics,2,2023-09-14,2026-06-30,,,,,,,,,,,
1940,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/gigasun/giga-sun-class-game-02,Giga Sun Class Game 02,gigasun,http://www.kongregate.com/games/gigasun/giga-sun-class-game-02,yes,1,0,0,0,1,17,2016-09-23,2016-09-23,0,newest (1),,2016-09-23,yes,2026-06-30,66,live_metrics_json,3567,3567,2026-06-30,66,0,2016-09-23,2016-09-23,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1941,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/javiersan22/super-skeleton-ii,Super Skeleton II,javiersan22,http://www.kongregate.com/games/javiersan22/super-skeleton-ii,yes,1,0,0,0,1,17,2016-10-04,2016-10-04,0,newest (1),,2016-10-04,yes,2026-06-30,83,live_metrics_json,3556,3556,2026-06-30,83,0,2016-10-04,2016-10-04,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1942,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/sandboxadventure/romance-is-dead,Romance is Dead,SandboxAdventure,http://www.kongregate.com/games/SandboxAdventure/romance-is-dead,yes,1,0,0,0,1,17,2016-10-17,2016-10-17,0,newest (1),,2016-10-17,yes,2026-06-30,5176,live_metrics_json,3543,3543,2026-06-30,5176,0,2016-10-17,2016-10-17,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1943,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/run-chase-9,Run Chase 9,Enagamess,http://www.kongregate.com/games/Enagamess/run-chase-9,yes,1,0,0,0,1,17,2016-10-18,2016-10-18,0,newest (1),,2016-10-18,yes,2026-06-30,265,live_metrics_json,3542,3542,2026-06-30,265,0,2016-10-18,2016-10-18,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1944,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/hpieta/light-directions,Light Directions,HPieta,http://www.kongregate.com/games/HPieta/light-directions,yes,1,0,0,0,1,17,2016-10-24,2016-10-24,0,newest (1),,2016-10-24,yes,2026-06-30,119,live_metrics_json,3536,3536,2026-06-30,119,0,2016-10-24,2016-10-24,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1945,110,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/munguia/horror-paintings-parodies,Horror Paintings Parodies,Munguia,http://www.kongregate.com/games/Munguia/horror-paintings-parodies,yes,1,0,0,0,1,17,2016-10-30,2016-10-30,0,newest (1),,2016-10-30,yes,2026-06-30,8351,live_metrics_json,3530,3530,2026-06-30,8351,0,2016-10-30,2016-10-30,17,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
